,Alue,Osoite,Hinta,Koko,Vuosi,Talotyyppi,Sauna,Parveke,Katu
791,Härmälänranta,Niilo Härmälän katu 13 A 59,189900.0,37.5,2021.0,Kerrostalo,False,False,Niilo
792,Härmälänranta,Niilo Härmälän katu 13 A 52,184900.0,37.5,2021.0,Kerrostalo,False,False,Niilo
793,Härmälänranta,Niilo Härmälän katu 13 A 50,214100.0,50.5,2021.0,Kerrostalo,False,False,Niilo
794,Härmälänranta,Niilo Härmälän katu 13 A 48,228900.0,53.5,2021.0,Kerrostalo,True,False,Niilo
795,Härmälänranta,Niilo Härmälän katu 13 A 41,201900.0,44.5,2021.0,Kerrostalo,False,False,Niilo
796,Härmälänranta,Niilo Härmälän katu 13 A 39,209100.0,50.5,2021.0,Kerrostalo,False,False,Niilo
797,Ranta-Tampella,Ranta-Tampellan katu 5,239000.0,36.0,2018.0,Kerrostalo,False,False,Ranta-Tampellan
798,Keskusta,Kansikatu 8 B 189,329220.0,54.0,2020.0,Kerrostalo,True,False,Kansikatu
799,Keskusta,Kansikatu 8 B 196,332030.0,54.0,2020.0,Kerrostalo,True,False,Kansikatu
800,Keskusta,Kansikatu 8 B 195,322990.0,53.5,2020.0,Kerrostalo,True,False,Kansikatu
801,Keskusta,Kansikatu 8 B 182,321130.0,54.0,2020.0,Kerrostalo,True,False,Kansikatu
802,Keskusta,Kansikatu 8 B 181,312090.0,53.5,2020.0,Kerrostalo,True,False,Kansikatu
803,Keskusta,Kansikatu 8 B 174,303370.0,53.5,2020.0,Kerrostalo,True,False,Kansikatu
804,Keskusta,Kansikatu 8 B 84,185330.0,38.0,2020.0,Kerrostalo,False,False,Kansikatu
805,Takahuhti,Hanhenmäenkatu 1 B,192700.0,40.5,2020.0,Kerrostalo,False,False,Hanhenmäenkatu
806,Takahuhti,Hanhenmäenkatu 1 B,220900.0,45.5,2020.0,Kerrostalo,False,False,Hanhenmäenkatu
807,Takahuhti,Hanhenmäenkatu 1 A,221100.0,55.5,2020.0,Kerrostalo,False,False,Hanhenmäenkatu
808,Haukiluoma,Tyviraitti 1 A 39,159000.0,45.5,2020.0,Kerrostalo,False,False,Tyviraitti
809,Haukiluoma,Tyviraitti 1 A 29,152000.0,45.5,2020.0,Kerrostalo,False,False,Tyviraitti
810,Ranta-Tampella,Tampellan esplanadi 19 A 15,297660.0,43.5,2020.0,Kerrostalo,False,False,Tampellan
811,Ranta-Tampella,Tampellan esplanadi 19 A 09,331120.0,44.5,2020.0,Kerrostalo,False,False,Tampellan
812,Ranta-Tampella,Tampellan esplanadi 19 A 07,294270.0,43.5,2020.0,Kerrostalo,False,False,Tampellan
813,Ranta-Tampella,Ranta-Tampellan katu 3 B 75,247600.0,35.0,2020.0,Kerrostalo,False,False,Ranta-Tampellan
814,Ranta-Tampella,Ranta-Tampellan katu 3 B 70,228400.0,35.0,2020.0,Kerrostalo,False,False,Ranta-Tampellan
815,Ranta-Tampella,Ranta-Tampellan katu 3 B 51,345300.0,65.5,2020.0,Kerrostalo,True,False,Ranta-Tampellan
816,Ranta-Tampella,Ranta-Tampellan katu 3 B 46,321600.0,65.5,2020.0,Kerrostalo,True,False,Ranta-Tampellan
817,Ranta-Tampella,Ranta-Tampellan katu 3 B 42,305400.0,65.5,2020.0,Kerrostalo,True,False,Ranta-Tampellan
818,Maisansalo,Koljonseläntie 7,57000.0,54.0,1975.0,Paritalo,False,False,Koljonseläntie
819,Keskusta,Yliopistonkatu 50,275000.0,47.0,2016.0,Kerrostalo,True,True,Yliopistonkatu
820,Vuores,Isokuusenkatu 47 A 3,147890.0,43.5,2020.0,Kerrostalo,False,False,Isokuusenkatu
821,Takahuhti,Hanhenmäenkatu 1 B43,219800.0,55.5,2020.0,Kerrostalo,False,False,Hanhenmäenkatu
822,Takahuhti,Hanhenmäenkatu 1 B45,194500.0,50.0,2020.0,Kerrostalo,False,False,Hanhenmäenkatu
823,Takahuhti,Hanhenmäenkatu 1 A33,195600.0,45.5,2020.0,Kerrostalo,True,False,Hanhenmäenkatu
824,Takahuhti,Hanhenmäenkatu 1 A25,191700.0,45.5,2020.0,Kerrostalo,True,False,Hanhenmäenkatu
